_id,plant_name,disease_percentage,status,confidence_score,timestamp,disease_details,disease_details.name,disease_details.lacking_trait,disease_details.symptoms,disease_details.treatment
678029b686f78a3d4c5bdc3b,"Pepper,_bell___Bacterial_spot",11.57,Treatment Required,0.8466306924819946,2025-01-09 19:55:34.818,,,,,
6780a9a47089ad5b9680e679,Potato___healthy,2.0,Healthy,0.9999358654022217,2025-01-10 05:01:24.604,,__healthy,none,[],Continue regular maintenance
6780a9cd7089ad5b9680e67a,Corn_(maize)___Common_rust_,57.87,Treatment Required,1.0,2025-01-10 05:02:05.582,,(maize)___Common_rust_,Phosphorus,"['Rust-colored pustules on leaves', 'Deformed leaves']",Apply fungicides and rotate crops
6780aa2e7089ad5b9680e67b,Peach___Bacterial_spot,47.49,Treatment Required,0.8026535511016846,2025-01-10 05:03:42.711,,__Bacterial_spot,Calcium and Nitrogen,"['Small brown spots on leaves', 'Spots turn black or fall out', 'Fruit develops deep cracks', 'Defoliation']",Apply copper-based bactericides every 7-10 days during wet periods. Maintain good air circulation and prune infected branches.
6780aaaa7089ad5b9680e67d,Apple___Black_rot,53.13,Treatment Required,0.999997615814209,2025-01-10 05:05:46.729,,__Black_rot,Potassium,"['Rotting of fruit', 'Blackened leaves and stems']","Remove infected fruit, apply fungicides"
6780aad57089ad5b9680e67e,Corn_(maize)___healthy,0.0,Healthy,1.0,2025-01-10 05:06:29.497,,,,,
6780ab2a7089ad5b9680e67f,Apple___Apple_scab,42.1,Treatment Required,0.6867945790290833,2025-01-10 05:07:54.896,,__Apple_scab,Calcium,"['Dark, sunken lesions on leaves', 'Lesions on fruit and stems']",Apply fungicides and remove infected leaves
678d1ab60036ce6855c0a1b0,Potato___Late_blight,63.41,Treatment Required,0.716179609298706,2025-01-19 15:31:02.426,,__Late_blight,Phosphorus,"['Water-soaked lesions on leaves', 'White fungal growth on undersides of leaves']",Apply phosphorus fertilizers and fungicides
678d2103853d37ed2f3fdd00,Potato___Late_blight,63.41,Treatment Required,0.716179609298706,2025-01-19 15:57:55.229,,__Late_blight,Phosphorus,"['Water-soaked lesions on leaves', 'White fungal growth on undersides of leaves']",Apply phosphorus fertilizers and fungicides
678d38d4b0e41be14007d874,Corn_(maize)___Northern_Leaf_Blight,27.25,Treatment Required,0.9976388216018677,2025-01-19 17:39:32.041,,(maize)___Northern_Leaf_Blight,Potassium,"['Large lesions on leaves', 'Yellowing around lesions']",Apply fungicides and remove infected leaves
678e9cda7dbd76a0d44438c8,Potato___Late_blight,64.22,Treatment Required,0.9824553728103638,2025-01-20 18:58:34.988,,__Late_blight,Phosphorus,"['Water-soaked lesions on leaves', 'White fungal growth on undersides of leaves']",Apply phosphorus fertilizers and fungicides
678e9cf17dbd76a0d44438ca,Orange___Haunglongbing_(Citrus_greening),24.99,Treatment Required,1.0,2025-01-20 18:58:57.543,,__Haunglongbing_(Citrus_greening),Iron,"['Yellowing of leaves', 'Deformed fruit']",Apply iron supplements and remove infected trees
678e9d2f7dbd76a0d44438cb,Peach___healthy,4.0,Healthy,1.0,2025-01-20 18:59:59.916,,__healthy,none,[],Continue regular maintenance
678e9d3c7dbd76a0d44438cc,Corn_(maize)___Northern_Leaf_Blight,26.5,Treatment Required,0.9789446592330933,2025-01-20 19:00:12.107,,(maize)___Northern_Leaf_Blight,Potassium,"['Large lesions on leaves', 'Yellowing around lesions']",Apply fungicides and remove infected leaves
678e9d437dbd76a0d44438cd,Strawberry___healthy,1.0,Healthy,0.44504213333129883,2025-01-20 19:00:19.629,,__healthy,none,[],Continue regular maintenance
678e9d557dbd76a0d44438ce,Potato___Early_blight,73.75,Treatment Required,1.0,2025-01-20 19:00:37.170,,__Early_blight,Nitrogen,"['Dark brown lesions with concentric rings', 'Yellowing of lower leaves']",Apply nitrogen fertilizers and remove infected plant debris
678e9d6c7dbd76a0d44438cf,Corn_(maize)___Common_rust_,33.29,Treatment Required,0.9998109936714172,2025-01-20 19:01:00.996,,(maize)___Common_rust_,Phosphorus,"['Rust-colored pustules on leaves', 'Deformed leaves']",Apply fungicides and rotate crops
678e9d767dbd76a0d44438d0,Apple___Apple_scab,35.85,Treatment Required,1.0,2025-01-20 19:01:10.019,,__Apple_scab,Calcium,"['Dark, sunken lesions on leaves', 'Lesions on fruit and stems']",Apply fungicides and remove infected leaves
678e9dad7dbd76a0d44438d1,Apple___Black_rot,53.13,Treatment Required,0.999997615814209,2025-01-20 19:02:05.255,,__Black_rot,Potassium,"['Rotting of fruit', 'Blackened leaves and stems']","Remove infected fruit, apply fungicides"
